,id,text,PartnerCode,PartnerDesc,partnerNote,PartnerCodeIsoAlpha2,PartnerCodeIsoAlpha3,entryEffectiveDate,isGroup,entryExpiredDate
1,472,"Africa CAMEU region, nes",472,"Africa CAMEU region, nes","Africa CAMEU region, not elsewhere specified",,_AC,1900-01-01T00:00:00,False,
12,899,"Areas, nes",899,"Areas, nes","Areas, not elsewhere specified",,_X ,1900-01-01T00:00:00,False,
35,80,Br. Antarctic Terr.,80,Br. Antarctic Terr.,British Antarctic Territories,BQ,ATB,1900-01-01T00:00:00,False,
41,837,Bunkers,837,Bunkers,Bunkers,,X1 ,1900-01-01T00:00:00,False,
45,471,"CACM, nes",471,"CACM, nes","CACM, not elsewhere specified",,R91,1900-01-01T00:00:00,False,
49,129,"Caribbean, nes",129,"Caribbean, nes","Caribbean, not elsewhere specified",,A49,1900-01-01T00:00:00,False,
82,221,"Eastern Europe, nes",221,"Eastern Europe, nes","Eastern Europe, not elsewhere specified",,E29,1900-01-01T00:00:00,False,
92,697,"Europe EFTA, nes",697,"Europe EFTA, nes","Europe EFTA, not elsewhere specified",,R20,1900-01-01T00:00:00,False,
93,492,"Europe EU, nes",492,"Europe EU, nes","Europe EU, not elsewhere specified",MC,MCO,1900-01-01T00:00:00,False,
101,838,Free Zones,838,Free Zones,Free Zones,,X2 ,1900-01-01T00:00:00,False,
146,473,"LAIA, nes",473,"LAIA, nes","LAIA, not elsewhere specified",,A79,1900-01-01T00:00:00,False,
191,637,"North America and Central America, nes",637,"North America and Central America, nes","North America, the Caribbean and Central America not elsewhere specified",,A59,1900-01-01T00:00:00,False,
193,290,"Northern Africa, nes",290,"Northern Africa, nes","Northern Africa, not elsewhere specified",,F49,1900-01-01T00:00:00,False,
196,527,"Oceania, nes",527,"Oceania, nes","Oceania, not elsewhere specified",,O19,1900-01-01T00:00:00,False,
198,577,"Other Africa, nes",577,"Other Africa, nes","Other Africa, not elsewhere specified",,F19,1900-01-01T00:00:00,False,
199,490,"Other Asia, nes",490,"Other Asia, nes","Other Asia, not elsewhere specified",,S19,1900-01-01T00:00:00,False,
200,568,"Other Europe, nes",568,"Other Europe, nes","Other Europe, not elsewhere specified",,E19,1900-01-01T00:00:00,False,
220,636,"Rest of America, nes",636,"Rest of America, nes","Rest of America, not elsewhere specified",,A79,1900-01-01T00:00:00,False,
302,879,"Western Asia, nes",879,"Western Asia, nes","Western Asia, not elsewhere specified",,F97,1900-01-01T00:00:00,False,
258,839,Special Categories,839,Special Categories,Special Categories,,XX ,1900-01-01T00:00:00,False,
